Vinyl, 3186130, http://akas.imdb.com/title/tt3186130/combined
Suits, 1632701, http://akas.imdb.com/title/tt1632701/combined
Modern Family, 1442437, http://akas.imdb.com/title/tt1442437/combined
Quantico, 4428122, http://akas.imdb.com/title/tt4428122/combined
The Magicians, 4254242, http://akas.imdb.com/title/tt4254242/combined
Orange Is the New Black, 2372162, http://akas.imdb.com/title/tt2372162/combined
Blindspot, 4474344, http://akas.imdb.com/title/tt4474344/combined
NCIS, 0364845, http://akas.imdb.com/title/tt0364845/combined
Sherlock, 1475582, http://akas.imdb.com/title/tt1475582/combined
Hunters, 4983204, http://akas.imdb.com/title/tt4983204/combined
Penny Dreadful, 2628232, http://akas.imdb.com/title/tt2628232/combined
iZombie, 3501584, http://akas.imdb.com/title/tt3501584/combined
Pretty Little Liars, 1578873, http://akas.imdb.com/title/tt1578873/combined
The Catch, 4396862, http://akas.imdb.com/title/tt4396862/combined
Friends, 0108778, http://akas.imdb.com/title/tt0108778/combined
American Horror Story, 1844624, http://akas.imdb.com/title/tt1844624/combined
Black Sails, 2375692, http://akas.imdb.com/title/tt2375692/combined
Empire, 3228904, http://akas.imdb.com/title/tt3228904/combined
Castle, 1219024, http://akas.imdb.com/title/tt1219024/combined
Sons of Anarchy, 1124373, http://akas.imdb.com/title/tt1124373/combined
Shadowhunters: The Mortal Instruments, 4145054, http://akas.imdb.com/title/tt4145054/combined
Gilmore Girls, 0238784, http://akas.imdb.com/title/tt0238784/combined
Bones, 0460627, http://akas.imdb.com/title/tt0460627/combined
The Path, 4789576, http://akas.imdb.com/title/tt4789576/combined
Archer, 1486217, http://akas.imdb.com/title/tt1486217/combined
Jessica Jones, 2357547, http://akas.imdb.com/title/tt2357547/combined
Z Nation, 3843168, http://akas.imdb.com/title/tt3843168/combined
Girls, 1723816, http://akas.imdb.com/title/tt1723816/combined
Bates Motel, 2188671, http://akas.imdb.com/title/tt2188671/combined
Grease Live!, 4366830, http://akas.imdb.com/title/tt4366830/combined
Orphan Black, 2234222, http://akas.imdb.com/title/tt2234222/combined
The Originals, 2632424, http://akas.imdb.com/title/tt2632424/combined
Elementary, 2191671, http://akas.imdb.com/title/tt2191671/combined
New Girl, 1826940, http://akas.imdb.com/title/tt1826940/combined
The X-Files, 0106179, http://akas.imdb.com/title/tt0106179/combined
Limitless, 4422836, http://akas.imdb.com/title/tt4422836/combined
Grimm, 1830617, http://akas.imdb.com/title/tt1830617/combined
Downton Abbey, 1606375, http://akas.imdb.com/title/tt1606375/combined
Sleepy Hollow, 2647544, http://akas.imdb.com/title/tt2647544/combined
The Office, 0386676, http://akas.imdb.com/title/tt0386676/combined
Law & Order: Special Victims Unit, 0203259, http://akas.imdb.com/title/tt0203259/combined
Doctor Who, 0436992, http://akas.imdb.com/title/tt0436992/combined
How I Met Your Mother, 0460649, http://akas.imdb.com/title/tt0460649/combined
The Americans, 2149175, http://akas.imdb.com/title/tt2149175/combined
The Good Wife, 1442462, http://akas.imdb.com/title/tt1442462/combined
Bloodline, 3520702, http://akas.imdb.com/title/tt3520702/combined
Prison Break, 0455275, http://akas.imdb.com/title/tt0455275/combined
Homeland, 1796960, http://akas.imdb.com/title/tt1796960/combined
